scene_id,domain,rgb_path,depth_path,width,height,object_count,categories,instruction_target,response_case,rgb_sha256,depth_sha256
2019,artificial_pool,samples/rgb/rgb_002019.jpg,samples/depth_16bit/depth_002019.png,640,480,3,green bottle|paper box|pop can,paper box,target_and_obstacle,f63c9ef47d0676cb150c9be6aef7b3300ab03735b289a7689c6b20530099c53c,eeaadc12f94294727697fea14e6dd2c7e2fe0a6cb252a4fbd8537cf167700ed5
2114,artificial_pool,samples/rgb/rgb_002114.jpg,samples/depth_16bit/depth_002114.png,640,480,2,green bottle|paper box,green bottle,target_and_obstacle,d133863272e573c5e27fd93f3acc8ffefcabc55dfc0220571fa24c7b0ccd78fe,fd0615d538eae49e54ac47a68454d514248568ea8237feb5fe63f04d9283d452
2242,artificial_pool,samples/rgb/rgb_002242.jpg,samples/depth_16bit/depth_002242.png,640,480,1,paper bowl,paper bowl,target_only,d3dfa3593a3e0e1ea07a27143389fc93c886ffb4304c76759c744c64b76b0a73,a68fc2e100d04fdd4e4de9be8336e534e2039d1b7395b9f7ac22a92377d853b6
2370,artificial_pool,samples/rgb/rgb_002370.jpg,samples/depth_16bit/depth_002370.png,640,480,2,branch|paper box,paper box,target_and_obstacle,95a42bd7144dde38e4f39aeca5a7fc0aaa265bcee7cfa035686214dd95dde7e1,d151f97e2d53be3378bd8830f0b3ca656a7b314562c3a9712d7d56ae77f373fc
2479,artificial_pool,samples/rgb/rgb_002479.jpg,samples/depth_16bit/depth_002479.png,640,480,1,blue and black foam,blue and black foam,target_only,8abb9414fab9b1cbd9061540967e764105051ee0fdb138581c80820377208bb5,901bb88cd083842f5a5ba6d9d6b65eafdcad606e511cdb84d18d72bf6fe2e601
2638,artificial_pool,samples/rgb/rgb_002638.jpg,samples/depth_16bit/depth_002638.png,640,480,1,red bottle,red bottle,target_only,de7485f4cfc02193d4af08322337f8593b37dd4dd520abdd82bed9a92b9021a1,34afb347dcda708494105ac9e8733dafeae5a17f9232562cf45689edee7ef56e
2796,artificial_pool,samples/rgb/rgb_002796.jpg,samples/depth_16bit/depth_002796.png,640,480,1,grey foam,grey foam,target_only,7d39c0288b5f6b2c5ee5703454008e3bb7465c0bbdbe9f092b0e575467392ebb,8ea6f3f460eed6bc10518ca68dff8d7c0780431870dfcfbf7ea459154b42b0e6
2938,artificial_pool,samples/rgb/rgb_002938.jpg,samples/depth_16bit/depth_002938.png,640,480,1,paper bowl,paper bowl,target_only,b7e958144a9612df03c2f82805b06784b49a778c5af81cc2a86520a166603696,4abc4198e1b00f2844a5d8985e22a3507fa6d10b33d9dc1c3ae85a9c7ea5a346
3047,artificial_pool,samples/rgb/rgb_003047.jpg,samples/depth_16bit/depth_003047.png,640,480,2,paper bowl|white foam,paper bowl,target_and_obstacle,667f4f6410dc428b2ce0826c329725381dbe27a5df42343e6680baed7e6c45a8,4f7cce0b24e698c74d28dd1c7bdec5ba811ab7a708555573a45f20c1c67a43dd
3154,artificial_pool,samples/rgb/rgb_003154.jpg,samples/depth_16bit/depth_003154.png,640,480,3,grey foam|pop can|red buoy,little yellow duck,obstacle_only,63b2f80b3a36e2b002f866c53765100deb498f7b8db9cceeee0d0d1af1573f91,790bb3061c02cd306fef1202cd0424bc0734c2f58e8f9739091440f53502ece2
3292,artificial_pool,samples/rgb/rgb_003292.jpg,samples/depth_16bit/depth_003292.png,640,480,1,paper bowl,paper bowl,target_only,8fc4b530a547577309e179d7d570e162948f535c859ad63d263a0016f5b1088b,5021799392988204e837465131c3da478dd201cd1a5df0b5be189a5493d9cbdd
3401,artificial_pool,samples/rgb/rgb_003401.jpg,samples/depth_16bit/depth_003401.png,640,480,2,green buoy|red bottle,yellow buoy,obstacle_only,48586b67f29d944999514f4360526aa2fdbb1d207a49a26a2790b14c873d4d16,564b85bb0b4ea2468890b4f331217091973bf93c808930211ced9600c7d989c9
3517,artificial_pool,samples/rgb/rgb_003517.jpg,samples/depth_16bit/depth_003517.png,640,480,3,black buoy|blue and black foam|paper bowl,black buoy,target_and_obstacle,399029222ee09edcc59eaca9d3600708cf8deee5abecfb9b0079757c55c19433,ce28d9f69cf8f149f08c84058ce7a4122b91f354bcde249696d0fd84f9386cc9
3688,artificial_pool,samples/rgb/rgb_003688.jpg,samples/depth_16bit/depth_003688.png,640,480,2,blue and black foam|green buoy,blue and black foam,target_and_obstacle,5722ab5e82903dc5d909745b17e23693ac677fd93a6c0425652e201ceae1d820,9288e7055a0bb62cd1878410cdaade9efdccac54bce5f8bfe018d6143296716a
3789,artificial_pool,samples/rgb/rgb_003789.jpg,samples/depth_16bit/depth_003789.png,640,480,1,red bottle,red bottle,target_only,f234f2459b249b498466b4c0acf8d9bd3ae0cf2fe517ae3ea5d017eb87533d59,c380a42430c4abfd4f3eac1e5ca8d9ec86784c0479c674b3369c782b363a8753
3901,artificial_pool,samples/rgb/rgb_003901.jpg,samples/depth_16bit/depth_003901.png,640,480,2,blue and black foam|red bottle,blue and black foam,target_and_obstacle,fbc15603a9f4e67cf7ad372b5a259d43041a90c1538886231795f2845d567c26,0045973c18f66e4116621296ef44d17cae57d842275f05a7957fab7379b43a70
3984,artificial_pool,samples/rgb/rgb_003984.jpg,samples/depth_16bit/depth_003984.png,640,480,0,,red bottle,empty,71ffb73de5a82fce01c6dbbf5ee27f3d81a49379d98ab12b0269e9f3a1e276d8,57bebd97726a04810d18471dab0b16aeea159b3863bf7cb7f5eb81435c70e6b9
4034,outdoor_lakes,samples/rgb/rgb_004034.jpg,samples/depth_16bit/depth_004034.png,640,480,0,,red bottle,empty,f925537ab0622f0b1c27d3f4986ced00751c48c5579a94cfa81917b0b3bf02e4,edfe175ce5ca9a2a1e794f4c4df9f4c8b0126b714b0cae1b21126926b8e99cca
4162,outdoor_lakes,samples/rgb/rgb_004162.jpg,samples/depth_16bit/depth_004162.png,640,480,2,paper bowl|pop can,grey foam,obstacle_only,a1ec26957a840e63803f4fdd78c36d2a3eaa6313fa03d5d7340e87fd968eddd1,ebdb971aa429e1a34a384c6c004eb2123d2f8b33417da49f05d5597589fc80ed
4199,outdoor_lakes,samples/rgb/rgb_004199.jpg,samples/depth_16bit/depth_004199.png,640,480,2,branch|plastic bag,plastic bag,target_and_obstacle,9818d30995ac3714b2df359ff1b853bc5a471fae57a0d3b952c86f2f722e519e,8e7ab83982446c76daa935d19157a3ca582bddf21741bcb3b68e269433e3c20b
4231,outdoor_lakes,samples/rgb/rgb_004231.jpg,samples/depth_16bit/depth_004231.png,640,480,1,little yellow duck,little yellow duck,target_only,34a3486441e2c8a5abbbb351dab4245657541448cf400f1c478e9fb488cdb5ad,590a760d242bb53602c2e7f5a467792541f1918d90281c227f2a106fa8f7e1e8
4476,outdoor_lakes,samples/rgb/rgb_004476.jpg,samples/depth_16bit/depth_004476.png,640,480,3,grey foam|plastic bag|white foam,green bottle,obstacle_only,63d0e04fc9a2f43acb93d0f5975b83b0f4a38a1c170171ceaa7a01a935c3f055,48738ccf4f0b1a40bd7f4c0838632752674a3a1dac6149d6e451dc144670adb6
4545,outdoor_lakes,samples/rgb/rgb_004545.jpg,samples/depth_16bit/depth_004545.png,640,480,3,blue bottle|grey foam|white foam,grey foam,target_and_obstacle,62a6224f3165380dd6a8c26da2879bc44066ba4e022820311a12eaf6475c97b9,e61fb1417484b528205dc0a80cfdc6f8a6164f25d59783503e7ef4327df8d1b9
4745,outdoor_lakes,samples/rgb/rgb_004745.jpg,samples/depth_16bit/depth_004745.png,640,480,1,blue bottle,blue bottle,target_only,bb42570ccc321eb8921b8f41e86dcf891cd7c25843010a322862db3bef423d61,676a8b8729d51727510c470d5f24c4d2f64ac830bf77e43186837dec5c07d960
4970,outdoor_lakes,samples/rgb/rgb_004970.jpg,samples/depth_16bit/depth_004970.png,640,480,4,blue bottle|paper bowl|pop can|red bottle,red bottle,target_and_obstacle,e433acdcaffb47e599085fe509ac3fa8d9d39d264284d58012be94a7fba44aca,447e57cbe1765dcda7a0d524e3b2cd7c41315f55b98f711f97cddd721738c638
